Destination,Type,Budget,Season,Travel_Mode,Activities,Hotel
Bali,Romantic,High,Summer,Flight,Beach and Resorts,Ayana Resort
Paris,Romantic,High,Winter,Flight,Eiffel Tower Tour,Hotel Lutetia
Goa,Adventure,Medium,Summer,Train,Water Sports,Taj Goa
Swiss Alps,Nature,High,Winter,Flight,Skiing and Hiking,Alpine Resort
Tokyo,Culture,High,Spring,Flight,City Exploration,Shinjuku Hotel
Maldives,Relaxation,High,Summer,Flight,Beach Relaxation,Soneva Jani
Dubai,Luxury,High,Winter,Flight,Desert Safari,Burj Al Arab
Manali,Adventure,Low,Winter,Bus,Trekking and Snowfall,Mountain View Hotel
New York,City,High,Autumn,Flight,Times Square Tour,Marriott Marquis
Bangkok,Budget,Low,Summer,Flight,Street Food and Temples,Bangkok Palace Hotel
Santorini,Romantic,High,Summer,Flight,Sunset Views,Grace Hotel
Singapore,City,Medium,Summer,Flight,Universal Studios,Marina Bay Sands
Rome,Culture,Medium,Spring,Flight,Historical Tours,Hotel Eden
Sydney,Nature,High,Summer,Flight,Opera House Tour,Four Seasons Sydney
Iceland,Adventure,High,Winter,Flight,Northern Lights,Fosshotel
London,City,High,Winter,Flight,London Eye Tour,The Savoy
Amsterdam,Culture,Medium,Spring,Flight,Canal Cruise,Ambassade Hotel
Venice,Romantic,High,Spring,Flight,Gondola Ride,Hotel Danieli
Phuket,Relaxation,Medium,Summer,Flight,Island Hopping,Amari Phuket
Bora Bora,Luxury,High,Summer,Flight,Private Villas,Conrad Bora Bora
Cape Town,Nature,Medium,Spring,Flight,Safari and Beaches,The Table Bay
Barcelona,Culture,Medium,Summer,Flight,Sagrada Familia Tour,W Barcelona
Prague,Culture,Low,Autumn,Flight,Old Town Visit,Hotel Kings Court
Seoul,City,Medium,Spring,Flight,K-pop and Cafes,Lotte Hotel
Kyoto,Culture,Medium,Spring,Flight,Temple Tours,Ritz Kyoto
Las Vegas,Luxury,High,Summer,Flight,Casinos and Shows,Bellagio
Toronto,City,Medium,Autumn,Flight,Niagara Tour,Fairmont Royal York
Moscow,Culture,Medium,Winter,Flight,Red Square Tour,Metropol Hotel
Nepal,Nature,Low,Spring,Bus,Mountain Trekking,Himalayan Lodge
Kerala,Relaxation,Medium,Winter,Train,Backwaters Cruise,Kumarakom Lake Resort
Rajasthan,Culture,Low,Winter,Train,Fort Exploration,Rambagh Palace
Leh Ladakh,Adventure,Medium,Summer,Bike,Road Trips,Ladakh Retreat
Mauritius,Relaxation,High,Summer,Flight,Beach Resorts,Lux Belle Mare
Vietnam,Budget,Low,Spring,Flight,Street Markets,Hanoi Pearl Hotel
Sri Lanka,Nature,Low,Winter,Flight,Tea Gardens,Cinnamon Grand
Turkey,Culture,Medium,Spring,Flight,Hot Air Balloon,Argos Hotel
Egypt,Culture,Medium,Winter,Flight,Pyramids Tour,Marriott Cairo
Finland,Nature,High,Winter,Flight,Glass Igloos,Santa Claus Resort
Norway,Adventure,High,Winter,Flight,Fjord Cruises,Thon Hotel
Los Angeles,City,High,Summer,Flight,Hollywood Tour,Beverly Hills Hotel
Mexico,Budget,Low,Summer,Flight,Beach Parties,Selina Cancun
Brazil,Adventure,Medium,Summer,Flight,Carnival and Beaches,Hilton Copacabana
Greece,Romantic,Medium,Summer,Flight,Island Exploration,Athens Gate Hotel
Austria,Culture,Medium,Winter,Flight,Music and Museums,Hotel Sacher
Germany,City,Medium,Autumn,Flight,Christmas Markets,Hilton Berlin
Croatia,Nature,Medium,Summer,Flight,Coastal Cruises,Hotel Excelsior
Indonesia,Relaxation,Low,Summer,Flight,Tropical Islands,Bali Dynasty Resort
Malta,Romantic,Medium,Spring,Flight,Sea View Tours,Corinthia Hotel
Hong Kong,City,High,Summer,Flight,Disneyland Visit,Peninsula Hotel
